dominio,chave,ano_inicio,ano_fim,valor_num,valor_txt,descricao,base_legal,url_base_legal
licitacoes,limite_dispensa_obras_engenharia,2000,2020,33000.00,,Limite dispensa obras e engenharia histórico,Decreto 9.412/2018,http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9412.htm
licitacoes,limite_dispensa_compras_servicos,2000,2020,17600.00,,Limite dispensa compras e serviços histórico,Decreto 9.412/2018,http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9412.htm
licitacoes,limite_dispensa_veiculos,2000,2020,8000.00,,Limite dispensa manutenção de veículos histórico,Decreto 9.412/2018,http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9412.htm
licitacoes,limite_dispensa_obras_engenharia,2021,2021,100000.00,,Limite dispensa obras e engenharia,Lei 14.133/2021 Art. 75 I,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14133.htm
licitacoes,limite_dispensa_compras_servicos,2021,2021,50000.00,,Limite dispensa compras e serviços,Lei 14.133/2021 Art. 75 II,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14133.htm
licitacoes,limite_dispensa_veiculos,2021,2021,8000.00,,Limite dispensa manutenção de veículos,Lei 14.133/2021 Art. 75 § 7º,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14133.htm
licitacoes,limite_dispensa_obras_engenharia,2022,2022,108040.82,,Limite dispensa obras e engenharia,Decreto 10.922/2021,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/decreto/d10922.htm
licitacoes,limite_dispensa_compras_servicos,2022,2022,54020.41,,Limite dispensa compras e serviços,Decreto 10.922/2021,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/decreto/d10922.htm
licitacoes,limite_dispensa_veiculos,2022,2022,8643.27,,Limite dispensa manutenção de veículos,Decreto 10.922/2021,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/decreto/d10922.htm
licitacoes,limite_dispensa_obras_engenharia,2023,2023,114416.65,,Limite dispensa obras e engenharia,Decreto 11.317/2022,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/decreto/d11317.htm
licitacoes,limite_dispensa_compras_servicos,2023,2023,57208.33,,Limite dispensa compras e serviços,Decreto 11.317/2022,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/decreto/d11317.htm
licitacoes,limite_dispensa_veiculos,2023,2023,9153.33,,Limite dispensa manutenção de veículos,Decreto 11.317/2022,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/decreto/d11317.htm
licitacoes,limite_dispensa_obras_engenharia,2024,2024,119812.02,,Limite dispensa obras e engenharia,Decreto 11.871/2023,http://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/decreto/d11871.htm
licitacoes,limite_dispensa_compras_servicos,2024,2024,59906.02,,Limite dispensa compras e serviços,Decreto 11.871/2023,http://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/decreto/d11871.htm
licitacoes,limite_dispensa_veiculos,2024,2024,9584.96,,Limite dispensa manutenção de veículos,Decreto 11.871/2023,http://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/decreto/d11871.htm
licitacoes,limite_dispensa_obras_engenharia,2025,2025,125451.15,,Limite dispensa obras e engenharia,Decreto 12.343/2024,http://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12343.htm
licitacoes,limite_dispensa_compras_servicos,2025,2025,62725.59,,Limite dispensa compras e serviços,Decreto 12.343/2024,http://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12343.htm
licitacoes,limite_dispensa_veiculos,2025,2025,10036.10,,Limite dispensa manutenção de veículos,Decreto 12.343/2024,http://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12343.htm
licitacoes,limite_dispensa_obras_engenharia,2026,2099,130984.20,,Limite dispensa obras e engenharia,Decreto 12.807/2025,http://www.planalto.gov.br/ccivil_03/_ato2023-2026/2025/decreto/d12807.htm
licitacoes,limite_dispensa_compras_servicos,2026,2099,65492.11,,Limite dispensa compras e serviços,Decreto 12.807/2025,http://www.planalto.gov.br/ccivil_03/_ato2023-2026/2025/decreto/d12807.htm
licitacoes,limite_dispensa_veiculos,2026,2099,10478.74,,Limite dispensa manutenção de veículos,Decreto 12.807/2025,http://www.planalto.gov.br/ccivil_03/_ato2023-2026/2025/decreto/d12807.htm
pessoal,lrf_limite_maximo_executivo,2000,2099,54.00,,Limite máximo LRF Pessoal Executivo,LC 101/2000 Art. 20 III b,http://www.planalto.gov.br/ccivil_03/leis/lcp/lcp101.htm
pessoal,lrf_limite_prudencial_executivo,2000,2099,51.30,,Limite prudencial LRF Pessoal Executivo,LC 101/2000 Art. 22,http://www.planalto.gov.br/ccivil_03/leis/lcp/lcp101.htm
pessoal,lrf_limite_alerta_executivo,2000,2099,48.60,,Limite de alerta LRF Pessoal Executivo,LC 101/2000 Art. 59 § 1º I,http://www.planalto.gov.br/ccivil_03/leis/lcp/lcp101.htm
despesas,elemento_folha_pessoal,2000,2099,,11,Código do elemento de despesa de folha de pagamento,Portaria STN/SOF,https://www.gov.br/tesouronacional/pt-br
despesas,elemento_subvencoes_sociais,2000,2099,,43,Código do elemento de despesa de subvenções sociais,Portaria STN/SOF,https://www.gov.br/tesouronacional/pt-br
opacidade,opacidade_limite_atencao_pct,2000,2099,15.00,,Limite de atenção para taxa de subitens residuais .99,Parâmetro Metodológico do Portal (Ref: Lei 4.320/64 Arts. 5º e 15),http://www.planalto.gov.br/ccivil_03/leis/l4320.htm
