codigo_fonte,descricao,grupo_destinacao,recurso_vinculado_flag
10010000,Recursos Ordinários Livres (Legado SOF/STN),livre,false
10900000,Outros Recursos Ordinários Livres (Legado SOF/STN),livre,false
11110000,Receitas de Impostos vinculadas à Educação (Legado),educacao,true
11160000,Outras Receitas vinculadas à Educação (Legado),educacao,true
11200000,Transferências do FUNDEB (Legado),educacao,true
11210000,FUNDEB - Complementação da União (Legado),educacao,true
11220000,Salário-Educação (Legado),educacao,true
11230000,PNAE - Merenda Escolar (Legado),educacao,true
11240000,PNATE - Transporte Escolar (Legado),educacao,true
11250000,Outros Recursos do FNDE (Legado),educacao,true
12110000,Recursos Próprios vinculados à Saúde (Legado SOF/STN),saude,true
12120000,Receitas de Impostos vinculadas à Saúde (Legado SOF/STN),saude,true
12130000,Transferências Fundo a Fundo do SUS (Legado SOF/STN),saude,true
12140000,Transferências de Convênios da Saúde (Legado SOF/STN),saude,true
12142100,Convênios Específicos da Saúde (Legado SOF/STN),saude,true
12150000,Outros Recursos vinculados à Saúde (Legado SOF/STN),saude,true
12400000,Transferências da Saúde - Vigilância Sanitária (Legado),saude,true
13110000,Transferências de Convênios e Outros Repasses (Legado),outros_vinculados,true
14100000,Operações de Crédito (Legado),outros_vinculados,true
14200000,Alienação de Bens (Legado),outros_vinculados,true
14300000,Outras Receitas de Capital (Legado),outros_vinculados,true
1500,Recursos não Vinculados de Impostos,livre,false
1501,Outros Recursos não Vinculados / Ações e Serviços Públicos de Saúde (ASPS),saude,true
1502,Recursos Próprios / Outros Recursos Não Vinculados,livre,false
15100000,Recursos Vinculados Diversos (Legado),outros_vinculados,true
15200000,Outras Destinações Vinculadas (Legado),outros_vinculados,true
15300000,Compensações Financeiras / Royalties Gerais (Legado),outros_vinculados,true
1540,Transferências do FUNDEB - Impostos e Transferências de Impostos,educacao,true
15400000,Transferências do FUNDEB (Legado),educacao,true
1541,Transferências do FUNDEB - Complementação da União - VAAF,educacao,true
1542,Transferências do FUNDEB - Complementação da União - VAAT,educacao,true
1543,Transferências do FUNDEB - Complementação da União - VAAR,educacao,true
1550,Transferência do Salário-Educação,educacao,true
1551,Transferências de Recursos do FNDE - PNAE (Merenda Escolar),educacao,true
1552,Transferências de Recursos do FNDE - PNATE (Transporte Escolar),educacao,true
1553,Transferências de Recursos do FNDE - Outras Transferências Legais,educacao,true
1569,Outras Transferências de Recursos do FNDE,educacao,true
1572,Transferências de Convênios Vinculados à Educação,educacao,true
1573,Royalties e Compensações Financeiras vinculadas à Educação,educacao,true
1600,Transferências Fundo a Fundo de Recursos do SUS - Bloco de Manutenção,saude,true
1601,Transferências Fundo a Fundo de Recursos do SUS - Bloco de Estruturação,saude,true
1602,Transferências do SUS destinadas ao Enfrentamento da COVID-19,saude,true
1603,Transferências Fundo a Fundo do SUS - Outros Repasses,saude,true
1604,Transferências de Convênios do SUS,saude,true
1605,Assistência Financeira Complementar da União - Piso da Enfermagem,saude,true
16100000,Outras Transferências Obrigatórias (Legado),outros_vinculados,true
16200000,Transferências do SUS (Legado SOF/STN),saude,true
1621,Transferências de Convênios / Contratos de Repasse vinculados à Saúde,saude,true
1622,Outras Transferências de Recursos vinculados à Saúde,saude,true
1635,Transferências do FNS / Compensação Financeira da Saúde,saude,true
1660,Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS,assistencia_social,true
1661,Transferência de Recursos do FNAS - Bloco de Gestão do SUAS,assistencia_social,true
1665,Transferências de Convênios Vinculados à Assistência Social,assistencia_social,true
1669,Outras Transferências de Recursos Vinculados à Assistência Social,assistencia_social,true
1700,Outras Transferências de Convênios ou Instrumentos Congêneres da União,outros_vinculados,true
1701,Transferências de Convênios do Estado,outros_vinculados,true
1704,Transferências da União destinadas ao Setor Cultural (Lei Paulo Gustavo / Aldir Blanc),outros_vinculados,true
1705,Transferências Decorrentes de Decisões Judiciais,outros_vinculados,true
1708,Transferências de Emendas Parlamentares Individuais da União,outros_vinculados,true
1710,Transferências de Emendas de Bancada da União,outros_vinculados,true
1715,Transferências Especiais da União (Emendas PIX),outros_vinculados,true
1719,Outras Transferências de Emendas Parlamentares,outros_vinculados,true
1720,Transferências de Emendas Parlamentares Estaduais,outros_vinculados,true
1721,Transferências Especiais dos Estados (Emendas PIX Estaduais),outros_vinculados,true
1749,Outras Transferências de Convênios,outros_vinculados,true
1750,Recursos de Fundos Especiais de Despesa,meio_ambiente,true
1751,Recursos de Fundos de Defesa dos Direitos da Criança e do Adolescente,outros_vinculados,true
1755,Recursos de Fundos Municipais de Meio Ambiente,meio_ambiente,true
1800,Recursos do RPPS - Fundo em Capitalização (Plano Previdenciário),previdencia,true
1801,Recursos do RPPS - Fundo em Repartição (Plano Financeiro),previdencia,true
1802,Recursos do RPPS - Taxa de Administração,previdencia,true
1860,Outros Recursos Vinculados ao Regime Próprio de Previdência,previdencia,true
1869,Recursos do RPPS - Outras Vinculações,previdencia,true
19400000,Outros Recursos não Aplicados (Legado),outros_vinculados,true
22130000,Transferências do SUS - Exercícios Anteriores (Legado),saude,true
24100000,Operações de Crédito - Exercícios Anteriores (Legado),outros_vinculados,true
24200000,Alienação de Bens - Exercícios Anteriores (Legado),outros_vinculados,true
24300000,Outras Receitas de Capital - Exercícios Anteriores (Legado),outros_vinculados,true
2500,Recursos não Vinculados de Impostos - Exercícios Anteriores,livre,false
2501,Ações e Serviços Públicos de Saúde - Exercícios Anteriores,saude,true
