portal_slug,ano,licitacao_numero,ano_compra,sequencial_compra,confianca
porciuncula_prefeitura,2024,000050,2024,1,alta
porciuncula_prefeitura,2024,000054,2024,2,alta
porciuncula_prefeitura,2025,000761,2025,1,alta
porciuncula_prefeitura,2025,000983,2025,3,alta
porciuncula_prefeitura,2025,001101,2025,7,alta
porciuncula_prefeitura,2025,001102,2025,6,alta
porciuncula_prefeitura,2026,000004,2026,2,alta
porciuncula_prefeitura,2026,000120,2026,4,alta
porciuncula_prefeitura,2026,000121,2026,5,alta
porciuncula_prefeitura,2026,000122,2026,6,alta
porciuncula_prefeitura,2026,000123,2026,7,alta
porciuncula_prefeitura,2026,000125,2026,8,alta
porciuncula_prefeitura,2026,000126,2026,10,alta
porciuncula_prefeitura,2026,000127,2026,9,alta
porciuncula_prefeitura,2026,000288,2026,11,alta
porciuncula_prefeitura,2026,000289,2026,12,alta
porciuncula_prefeitura,2026,000290,2026,13,alta
porciuncula_prefeitura,2026,000291,2026,14,alta
porciuncula_prefeitura,2026,000292,2026,15,alta
porciuncula_prefeitura,2026,000514,2026,17,alta
porciuncula_prefeitura,2026,000515,2026,18,alta
porciuncula_prefeitura,2026,000480,2026,19,alta
porciuncula_prefeitura,2026,000516,2026,20,alta
porciuncula_prefeitura,2026,000517,2026,21,alta
porciuncula_prefeitura,2026,000518,2026,22,alta
porciuncula_prefeitura,2026,000519,2026,23,alta
